FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-06-16,Republic Airline,Republic Airline: YX,YX,20452,3687,EWR,"Newark, NJ",PIT,"Pittsburgh, PA",1830,,,,,,,2012,,,CANCELLED,B,NOT DIVERTED,102.0,,,319.0,,,,,,2022
2022-02-03,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2765,TPA,"Tampa, FL",CVG,"Cincinnati, OH",1205,,,,,,,1420,,,CANCELLED,B,NOT DIVERTED,135.0,,,773.0,,,,,,2022
2022-02-06,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1902,MIA,"Miami, FL",RDU,"Raleigh/Durham, NC",849,,,,,,,1056,,,CANCELLED,A,NOT DIVERTED,127.0,,,700.0,,,,,,2022
2022-04-07,Republic Airline,Republic Airline: YX,YX,20452,4888,LGA,"New York, NY",DCA,"Washington, DC",2000,,,,,,,2130,,,CANCELLED,B,NOT DIVERTED,90.0,,,214.0,,,,,,2022
2022-01-03,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,4634,JFK,"New York, NY",MSP,"Minneapolis, MN",1220,,,,,,,1418,,,CANCELLED,A,NOT DIVERTED,178.0,,,1029.0,,,,,,2022
2022-06-18,Republic Airline,Republic Airline: YX,YX,20452,4631,LGA,"New York, NY",GSO,"Greensboro/High Point, NC",840,,,,,,,1027,,,CANCELLED,A,NOT DIVERTED,107.0,,,461.0,,,,,,2022
2022-01-16,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2612,CLT,"Charlotte, NC",ATL,"Atlanta, GA",1331,,,,,,,1450,,,CANCELLED,B,NOT DIVERTED,79.0,,,226.0,,,,,,2022
2022-12-28,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3123,MCO,"Orlando, FL",RDU,"Raleigh/Durham, NC",815,,,,,,,955,,,CANCELLED,A,NOT DIVERTED,100.0,,,534.0,,,,,,2022
2022-06-04,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1969,CMH,"Columbus, OH",DFW,"Dallas/Fort Worth, TX",930,,,,,,,1108,,,CANCELLED,B,NOT DIVERTED,158.0,,,926.0,,,,,,2022
2022-12-27,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,5473,SNA,"Santa Ana, CA",LAS,"Las Vegas, NV",2040,,,,,,,2150,,,CANCELLED,A,NOT DIVERTED,70.0,,,226.0,,,,,,2022
2022-01-29,JetBlue Airways,JetBlue Airways: B6,B6,20409,2469,BOS,"Boston, MA",FLL,"Fort Lauderdale, FL",1650,,,,,,,2025,,,CANCELLED,B,NOT DIVERTED,215.0,,,1237.0,,,,,,2022
